nav.danh_muc_sach	Danh mục sách
nav.khuyen_mai	Khuyến mãi
nav.tin_tuc	Tin tức
nav.lien_he	Liên hệ
nav.gioi_thieu	Giới thiệu
nav.goi_tai_khoan	Gói tài khoản
header.tagline	Thư viện y học số 1 Việt Nam !
header.huong_dan_tai_sach	Hướng dẫn tải sách
header.dang_nhap	Đăng nhập
header.dang_ky	Đăng ký
header.thu_vien_phong_phu	Thư viện phong phú — Hơn 2000 ebook y học tất cả các chuyên khoa
header.kho_tai_lieu	Kho tài liệu - bài giảng — Tài liệu bài giảng - thực hành y khoa chuyên sâu
search.placeholder	Tìm kiếm sách, tài liệu... (gõ tiếng việt có dấu)
auth.title	ĐĂNG NHẬP
auth.username_or_email	Tên tài khoản hoặc địa chỉ email
auth.password	Mật khẩu
auth.login_btn	Đăng nhập
auth.or	HOẶC
auth.google	Tiếp tục với Google
auth.no_account	Bạn chưa có tài khoản? Đăng ký ngay
product.chu_bien	Chủ biên (Editor/Author)
product.ngon_ngu	Ngôn ngữ (Language)
product.nha_xuat_ban	Nhà xuất bản (Publisher)
product.tai_sach	Tải sách (Download book)
product.chuyen_nganh	Chuyên ngành (Specialty)
product.chuyen_muc	Chuyên mục (Collection/tag)
product.mo_ta	MÔ TẢ (Description)
product.sach_cung_chuyen_nganh	SÁCH CÙNG CHUYÊN NGÀNH (Books in same specialty)
product.xem_nhanh	XEM NHANH (Quick view)
product.xep_hang_sao	Được xếp hạng {n}/5 sao (star rating)
product.sach_hay_danh_cho_ban	SÁCH HAY DÀNH CHO BẠN (recommended: Tiếng anh / Tiếng việt tabs)
product.sach_tai_nhieu	SÁCH TẢI NHIỀU (most downloaded)
sidebar.sach_moi_cap_nhat	Sách mới cập nhật (recently updated)
plan.heading	Chọn gói hoàn hảo cho bạn
plan.promo	Đang diễn ra chương trình khuyến mãi đến hết ngày 20/09/2026. Sale off lên đến 50% khi đăng ký thành viên.
plan.thuong	TÀI KHOẢN THƯỜNG — 350k (was 600k, -42%)
plan.vip	TÀI KHOẢN VIP — 399k (was 1200k, -50%)
plan.gold	TÀI KHOẢN GOLD — 799k (was 1600k)
plan.diamond	TÀI KHOẢN DIAMOND — 1199k (was 2500k, -52%)
plan.thoi_han_1_nam	Thời hạn 1 năm (1 year duration)
plan.thoi_han_vinh_vien	Thời hạn vĩnh viễn (permanent)
plan.khong_gioi_han_luot_tai	Không giới hạn lượt tải (unlimited downloads)
plan.khong_quang_cao	Không quảng cáo/chia sẻ (no ads)
plan.yeu_cau_sach_en	Yêu cầu sách Tiếng Anh (request English book)
plan.yeu_cau_sach_vn	Yêu cầu sách Tiếng Việt (request Vietnamese book)
plan.tang_khoa_hoc_video	Tặng {n} khóa học video (bonus video courses, ~400k each)
plan.kich_hoat	kích hoạt (activate)
plan.support	Support 24/7 qua hotline hoặc facebook chat
plan.faq	NHỮNG CÂU HỎI THƯỜNG GẶP (FAQ)
plan.nang_cap	Nâng cấp lên tài khoản cao hơn (upgrade while current still valid)
widget.social_proof	{name} vừa mới đăng ký {plan} — Cách đây vài giờ (live signup toast)
widget.messenger	Hỗ trợ 24/7 qua Messenger (Facebook Messenger chat)
footer.about	Downloadsachyhoc.com là thư viện sách y học online tốt nhất và uy tín nhất dành cho cán bộ y tế
footer.email	downloadsachyhoc@gmail.com
footer.lien_ket_nhanh	Liên kết nhanh (quick links)
cat.can_lam_sang	Cận lâm sàng (Paraclinical)
cat.chuyen_khoa_le	Chuyên khoa lẻ (Individual specialties)
cat.dieu_duong	Điều dưỡng (Nursing)
cat.duoc_hoc	Dược học (Pharmacy)
cat.ngoai_khoa	Ngoại khoa (Surgery)
cat.nhi_khoa	Nhi khoa (Pediatrics)
cat.noi_khoa	Nội khoa (Internal medicine)
cat.san_phu_khoa	Sản phụ khoa (Obstetrics & Gynecology)
cat.y_hoc_co_so	Y học cơ sở (Basic medical sciences)
cat.y_hoc_thuong_thuc	Y học thường thức (General health)
cat.sach_tieng_anh	Sách tiếng Anh (English books)
cat.sach_dich_anh_viet	Sách dịch Anh-Việt (Translated EN-VI books)
cat.sub	ngoai-khoa/bong
cat.sub	can-lam-sang
cat.sub	can-lam-sang/chan-doan-hinh-anh
cat.sub	ngoai-khoa/chan-thuong-chinh-hinh
cat.sub	chuyen-khoa-le
cat.sub	noi-khoa/co-xuong-khop
cat.sub	can-lam-sang/chan-doan-hinh-anh/ct-scanners
cat.sub	chuyen-khoa-le/da-lieu
cat.sub	y-hoc-co-so/di-truyen-hoc
cat.sub	noi-khoa/di-ung-mien-dich
cat.sub	chuyen-khoa-le/dinh-duong
cat.sub	duoc-hoc
cat.sub	y-hoc-co-so/duoc-ly-hoc
cat.sub	can-lam-sang/dien-tam-do
cat.sub	dieu-duong
cat.sub	chuyen-khoa-le/gay-me-hoi-suc
cat.sub	y-hoc-co-so/giai-phau-benh
cat.sub	y-hoc-co-so/giai-phau-hoc
cat.sub	ngoai-khoa/giao-trinh-ngoai
cat.sub	nhi-khoa/giao-trinh-nhi-khoa
cat.sub	noi-khoa/giao-trinh-noi
cat.sub	san-phu-khoa/giao-trinh-san-phu-khoa
cat.sub	y-hoc-co-so/hoa-hoc
cat.sub	y-hoc-co-so/hoa-sinh-hoc
cat.sub	noi-khoa/hoi-suc-cap-cuu
cat.sub	noi-khoa/huyet-hoc-truyen-mau
cat.sub	y-hoc-co-so/ky-nang-lam-sang
cat.sub	chuyen-khoa-le/lao
cat.sub	chuyen-khoa-le/lao-khoa
cat.sub	y-hoc-co-so/mo-phoi
cat.sub	can-lam-sang/chan-doan-hinh-anh/mri
cat.sub	chuyen-khoa-le/nam-khoa
cat.sub	ngoai-khoa/ngoai-cap-cuu
cat.sub	ngoai-khoa
cat.sub	ngoai-khoa/ngoai-long-nguc
cat.sub	ngoai-khoa/ngoai-mach-mau
cat.sub	nhi-khoa/ngoai-nhi
cat.sub	ngoai-khoa/ngoai-than-kinh
cat.sub	ngoai-khoa/ngoai-tiet-nieu
cat.sub	ngoai-khoa/ngoai-tieu-hoa
cat.sub	ngoai-khoa/ngoai-tong-quat
cat.sub	chuyen-khoa-le/nhan-khoa
cat.sub	nhi-khoa
cat.sub	noi-khoa/noi-ho-hap
cat.sub	noi-khoa
cat.sub	nhi-khoa/noi-nhi
cat.sub	noi-khoa/noi-than-kinh
cat.sub	noi-khoa/noi-tiet
cat.sub	noi-khoa/noi-tieu-hoa
cat.sub	noi-khoa/noi-tim-mach
cat.sub	noi-khoa/noi-tong-quat
cat.sub	ngoai-khoa/phau-thuat-tham-my
cat.sub	san-phu-khoa/phu-khoa
cat.sub	chuyen-khoa-le/phuc-hoi-chuc-nang
cat.sub	chuyen-khoa-le/rang-ham-mat
cat.sub	sach-dich-anh-viet
cat.sub	sach-tieng-anh
cat.sub	san-phu-khoa/san-khoa-san-khoa
cat.sub	san-phu-khoa
cat.sub	can-lam-sang/chan-doan-hinh-anh/sieu-am-chan-doan-hinh-anh
cat.sub	y-hoc-co-so/sinh-hoc-shpt
cat.sub	y-hoc-co-so/sinh-ly-benh-mien-dich
cat.sub	y-hoc-co-so/sinh-ly-hoc
cat.sub	y-hoc-thuong-thuc/suc-khoe-gia-dinh
cat.sub	chuyen-khoa-le/tai-mui-hong-chuyen-khoa-le
cat.sub	y-hoc-co-so/tam-ly-hoc
cat.sub	chuyen-khoa-le/tam-than
cat.sub	noi-khoa/than-tiet-nieu
cat.sub	y-hoc-co-so/tieng-anh-y-khoa
cat.sub	chuyen-khoa-le/truyen-nhiem
cat.sub	chuyen-khoa-le/ung-buou
cat.sub	y-hoc-co-so/vat-ly-ly-sinh
cat.sub	y-hoc-co-so/vi-sinh-ky-sinh-trung
cat.sub	can-lam-sang/chan-doan-hinh-anh/x-quang
cat.sub	can-lam-sang/xet-nghiem
cat.sub	y-hoc-co-so
cat.sub	chuyen-khoa-le/y-hoc-co-truyen
cat.sub	y-hoc-thuong-thuc
cat.sub	chuyen-khoa-le/y-te-cong-cong
