entity,field,type,required,relation,notes
Book,id,int,yes,,WooCommerce product id
Book,title,string,yes,,
Book,slug,string,yes,,/sach/{slug}/
Book,cover_image,url,yes,,lightbox-zoomable
Book,editor_author,string,no,→Author,"Chủ biên; free-text + author attribute terms"
Book,language,enum,yes,,vi | en | translated (sách dịch anh-việt)
Book,publisher,string,no,,Nhà xuất bản
Book,sku,string,no,,
Book,description,html,no,,MÔ TẢ
Book,categories,list,yes,→Category,specialty tree (Chuyên ngành)
Book,tags,list,no,→Collection,Chuyên mục (sách hay / tải nhiều)
Book,file,file,yes,,protected PDF (delivery unverified) — served to any logged-in user
Book,rating_avg,float,no,,X/5 stars
Book,download_count,int,no,,drives 'tải nhiều'
Book,year,int,no,,year label only (no tier perk)
Book,created_at,datetime,yes,,
Category,id,int,yes,,product_cat term
Category,name,string,yes,,
Category,slug,string,yes,,
Category,parent_id,int,no,→Category,self-referential (3 levels)
Category,book_count,int,no,,
Author,id,int,yes,,pa_tac-gia attribute term (666)
Author,name,string,yes,,
Author,slug,string,yes,,
Collection,id,int,yes,,tag term
Collection,name,string,yes,,e.g. sách hay / tải nhiều
User,id,int,yes,,account
User,username,string,yes,,login identifier
User,email,string,yes,,
User,password_hash,string,yes,,username+password auth (only method — no social login)
User,display_name,string,no,,
User,role,enum,yes,,visitor | member | admin (no tiers — member = any logged-in account)
User,registered_at,datetime,yes,,feeds social-proof toast
Download,id,int,yes,,download event / library entry
Download,user_id,int,yes,→User,
Download,book_id,int,yes,→Book,
Download,downloaded_at,datetime,yes,,powers 'My library' (Bet 2)
BookRequest,id,int,yes,,LATER — any logged-in user (no tier gating)
BookRequest,user_id,int,yes,→User,
BookRequest,title,string,yes,,requested book
BookRequest,language,enum,yes,,en|vi
BookRequest,status,enum,yes,,submitted|in_review|fulfilled|rejected
BookRequest,created_at,datetime,yes,,
Review,id,int,yes,,rating/review (display observed) — LATER
Review,user_id,int,yes,→User,
Review,book_id,int,yes,→Book,
Review,stars,int,yes,,1-5
Review,comment,text,no,,
Review,status,enum,yes,,pending|approved|spam (WP moderation)
Post,id,int,yes,,blog article — LATER
Post,title,string,yes,,
Post,category,string,yes,,tin-tuc taxonomy
Post,content,html,yes,,
Post,published_at,datetime,yes,,
Course,id,int,yes,,video course — LATER (secondary line)
Course,title,string,yes,,
Course,price,int,no,,~400k reference value
Course,video_url,url,no,,player unverified
Course,category,string,no,,
Plan,-,-,-,,"[OUT OF SCOPE — no tiers] reference tier catalog (thuong|vip|gold|diamond); our build has no membership tiers"
Membership,-,-,-,,"[OUT OF SCOPE — no tiers] reference per-user tier entitlement + status/expiry; replaced by binary logged-in access"
Order,-,-,-,,"[OUT OF SCOPE — no payment] reference WooCommerce orders; membership arranged off-site, no on-site purchase"
CourseGrant,-,-,-,,"[OUT OF SCOPE — tier perk] reference bonus-course entitlement for gold/diamond"
Promotion,-,-,-,,"[OUT OF SCOPE — marketing-page] reference sale campaigns"
User.google_id,-,-,-,,"[OUT OF SCOPE — no social login] reference had Google OAuth link; removed"
